"Source Path","Destination Path","Size (Bytes)","Size (Human)","Time (ms)","Status","Error Detail"
"T:/Picture_Backup\IMG_0453.png","B:/Temp_Working(T)\Picture_Backup\IMG_0453.png","2810238","2.68 MB","9.5","Success",""
"T:/Picture_Backup\IMG_0472-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0472-1.png","2301695","2.20 MB","72.2","Success",""
"T:/Picture_Backup\IMG_0476-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0476-1.png","323726","316.14 KB","3.1","Success",""
"T:/Picture_Backup\IMG_0493-1.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0493-1.jpg","1681743","1.60 MB","6.2","Success",""
"T:/Picture_Backup\IMG_0493-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0493-1.png","1183545","1.13 MB","5.2","Success",""
"T:/Picture_Backup\IMG_0504-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0504-1.png","1979478","1.89 MB","7.6","Success",""
"T:/Picture_Backup\IMG_0528-2.png","B:/Temp_Working(T)\Picture_Backup\IMG_0528-2.png","1345365","1.28 MB","41.5","Success",""
"T:/Picture_Backup\IMG_0581-4.png","B:/Temp_Working(T)\Picture_Backup\IMG_0581-4.png","1251316","1.19 MB","5.5","Success",""
"T:/Picture_Backup\IMG_0585-10.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0585-10.JPG","1533621","1.46 MB","6.5","Success",""
"T:/Picture_Backup\IMG_0585-10.png","B:/Temp_Working(T)\Picture_Backup\IMG_0585-10.png","2149960","2.05 MB","12.5","Success",""
"T:/Picture_Backup\IMG_0589-2.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0589-2.JPG","1446750","1.38 MB","70.8","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0589-2.JPG'"
"T:/Picture_Backup\IMG_0596-5.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0596-5.JPG","1559041","1.49 MB","11.4","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0596-5.JPG'"
